2	apparently reassembled from the cutting room floor of any given daytime soap	0
3	they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science fiction elements of bug eyed monsters and futuristic women in skimpy clothes	0
4	this is a visually stunning rumination on love , memory , history and the war between art and commerce	1
5	jonathan parker 's bartleby should have been the be all end all of the modern office anomie films	1
6	campanella gets the tone just right funny in the middle of sad in the middle of hopeful	1
7	a fan film that for the uninitiated plays better on video with the sound turned down	0
8	b art and berling are both superb , while huppert is magnificent	1
9	a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium	0
10	the film is strictly routine	0
12	the most repugnant adaptation of a classic text since roland joff and demi moore 's the scarlet letter	0
13	for something as splendid looking as this particular film , the viewer expects something special but instead gets lrb sci fi rrb rehash	0
14	this is a stunning film , a one of a kind tour de force	1
15	may be more genial than ingenious , but it gets the job done	1
16	there is a freedom to watching stunts that are this crude , this fast paced and this insane	1
18	as quiet , patient and tenacious as mr lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline	1
19	final verdict you 've seen it all before	0
21	you get a sense of good intentions derailed by a failure to seek and strike just the right tone	0
23	a wretched movie that reduces the second world war to one man 's quest to find an old flame	0
26	the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be	1
27	the film is moody , oozing , chilling and heart warming all at once a twisting , unpredictable , cat and mouse thriller	1
28	too bad	0
29	a strong first act and absolutely , inescapably gorgeous , skyscraper trapeze motion of the amazing spider man	1
30	gooding offers a desperately ingratiating performance	0
31	a well intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility	0
32	a fun ride	1
36	lurid and less than lucid work	0
37	with its parade of almost perpetually wasted characters margarita feels like a hazy high that takes too long to shake	0
39	overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone	1
42	some body is a shaky , uncertain film that nevertheless touches a few raw nerves	1
43	it 's a very sincere work , but it would be better as a diary or documentary	1
45	unfolds with such a wallop of you are there immediacy that when the bullets start to fly , your first instinct is to duck	1
47	it 's not too fast and not too slow	1
48	it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space	1
49	it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients	1
53	not only does spider man deliver , but i suspect it might deliver again and again	1
54	it 's worth taking the kids to	1
55	without shakespeare 's eloquent language , the update is dreary and sluggish	0
56	dense , exhilarating documentary	1
57	feels as if lrb there 's rrb a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something	0
58	poignant if familiar story of a young person suspended between two cultures	1
59	methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie which may be why it 's so successful at lodging itself in the brain	1
60	though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors	1
61	superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen	1
62	a metaphor for a modern day urban china searching for its identity	1
63	it 's a square , sentimental drama that satisfies , as comfort food often can	1
64	the wonderfully lush morvern callar is pure punk existentialism , and ms ramsay and her co writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting	1
65	admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form	1
66	not once in the rush to save the day did i become very involved in the proceedings to me , it was just a matter of ` eh '	0
67	an ugly duckling tale so hideously and clumsily told it feels accidental	0
68	becomes a bit of a mishmash a tearjerker that does n't and a thriller that wo n't	0
69	could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?	1
70	this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it	1
71	more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	0
72	cho 's timing is priceless	1
73	criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama	1
74	there 's something to be said for a studio produced film that never bothers to hand viewers a suitcase full of easy answers	1
75	what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish	1
76	nicholson 's understated performance is wonderful	1
77	the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story	1
78	it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue	0
79	jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder	0
80	a fascinating curiosity piece fascinating , that is , for about ten minutes	0
81	over and over again	0
82	nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure	1
83	this bond film goes off the beaten path , not necessarily for the better	0
84	its solemn pretension prevents us from sharing the awe in which it holds itself	0
85	the drama discloses almost nothing	0
86	a sham construct based on theory , sleight of hand , and ill wrought hypothesis	0
87	isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries	1
88	like its parade of predecessors , this halloween is a gory slash fest	1
89	perhaps the best sports movie i 've ever seen	1
90	this pathetic junk is barely an hour long	0
